Home,Away
Nott'ham Forest,Manchester City
Liverpool,Southampton
Crystal Palace,Ipswich Town
Brighton,Fulham
Brentford,Aston Villa
Wolves,Everton
Chelsea,Leicester City
Tottenham,Bournemouth
Manchester Utd,Arsenal
West Ham,Newcastle Utd
